Entity,Code,Year,Low-carbon energy (TWh - equivalent)
Africa,,1965,41.118813
Africa,,1966,45.862915
Africa,,1967,47.875538
Africa,,1968,56.00047
Africa,,1969,65.3521
Africa,,1970,81.70287
Africa,,1971,77.44483
Africa,,1972,88.15175
Africa,,1973,93.23159
Africa,,1974,106.02579
Africa,,1975,112.08069
Africa,,1976,124.1857
Africa,,1977,136.41418
Africa,,1978,137.5516
Africa,,1979,147.20549
Africa,,1980,143.5182
Africa,,1981,149.11578
Africa,,1982,149.21266
Africa,,1983,134.52957
Africa,,1984,143.44058
Africa,,1985,162.16228
Africa,,1986,178.18808
Africa,,1987,164.53152
Africa,,1988,190.13307
Africa,,1989,199.75674
Africa,,1990,195.73206
Africa,,1991,207.80988
Africa,,1992,200.07661
Africa,,1993,191.13576
Africa,,1994,200.45248
Africa,,1995,211.96606
Africa,,1996,221.60963
Africa,,1997,229.0462
Africa,,1998,241.06973
Africa,,1999,250.81137
Africa,,2000,267.23303
Africa,,2001,276.49594
Africa,,2002,290.9236
Africa,,2003,285.1219
Africa,,2004,300.518
Africa,,2005,297.17966
Africa,,2006,303.7087
Africa,,2007,313.50287
Africa,,2008,322.22125
Africa,,2009,328.38412
Africa,,2010,353.5468
Africa,,2011,360.46362
Africa,,2012,361.79257
Africa,,2013,383.24615
Africa,,2014,407.756
Africa,,2015,410.2083
Africa,,2016,416.56943
Africa,,2017,446.7861
Africa,,2018,468.77063
Africa,,2019,502.8248
Africa,,2020,526.9549
Africa,,2021,559.7178
Africa,,2022,568.60297
Africa (EI),,1965,41.118813
Africa (EI),,1966,45.86291
Africa (EI),,1967,47.875538
Africa (EI),,1968,56.000465
Africa (EI),,1969,65.35209
Africa (EI),,1970,81.70288
Africa (EI),,1971,77.44484
Africa (EI),,1972,88.15176
Africa (EI),,1973,93.23159
Africa (EI),,1974,106.025795
Africa (EI),,1975,112.08069
Africa (EI),,1976,124.18571
Africa (EI),,1977,136.4142
Africa (EI),,1978,137.5516
Africa (EI),,1979,147.20549
Africa (EI),,1980,143.5182
Africa (EI),,1981,149.11578
Africa (EI),,1982,149.21266
Africa (EI),,1983,134.52957
Africa (EI),,1984,143.44058
Africa (EI),,1985,162.16228
Africa (EI),,1986,178.18808
Africa (EI),,1987,164.53152
Africa (EI),,1988,190.13307
Africa (EI),,1989,199.75676
Africa (EI),,1990,195.73207
Africa (EI),,1991,207.80988
Africa (EI),,1992,200.07661
Africa (EI),,1993,191.13576
Africa (EI),,1994,200.45248
Africa (EI),,1995,211.96606
Africa (EI),,1996,221.60963
Africa (EI),,1997,229.04623
Africa (EI),,1998,241.06975
Africa (EI),,1999,250.81134
Africa (EI),,2000,267.23303
Africa (EI),,2001,276.49594
Africa (EI),,2002,290.9236
Africa (EI),,2003,285.12192
Africa (EI),,2004,300.518
Africa (EI),,2005,297.1797
Africa (EI),,2006,303.7087
Africa (EI),,2007,313.50287
Africa (EI),,2008,322.22128
Africa (EI),,2009,328.38412
Africa (EI),,2010,353.5468
Africa (EI),,2011,360.46362
Africa (EI),,2012,361.79257
Africa (EI),,2013,383.24615
Africa (EI),,2014,407.756
Africa (EI),,2015,410.2083
Africa (EI),,2016,416.56943
Africa (EI),,2017,446.78613
Africa (EI),,2018,468.7706
Africa (EI),,2019,502.82474
Africa (EI),,2020,526.9549
Africa (EI),,2021,559.7177
Africa (EI),,2022,568.60297
Algeria,DZA,1965,1.1827958
Algeria,DZA,1966,1.0497311
Algeria,DZA,1967,1.2123655
Algeria,DZA,1968,1.664785
Algeria,DZA,1969,1.067473
Algeria,DZA,1970,1.7150539
Algeria,DZA,1971,0.97580636
Algeria,DZA,1972,1.4637097
Algeria,DZA,1973,2.2236557
Algeria,DZA,1974,1.4696236
Algeria,DZA,1975,0.9698925
Algeria,DZA,1976,1.1502688
Algeria,DZA,1977,0.79543
Algeria,DZA,1978,0.73924726
Algeria,DZA,1979,0.8604839
Algeria,DZA,1980,0.75994605
Algeria,DZA,1981,1.0822581
Algeria,DZA,1982,1.4163978
Algeria,DZA,1983,0.69489247
Algeria,DZA,1984,1.336559
Algeria,DZA,1985,1.910215
Algeria,DZA,1986,0.73924726
Algeria,DZA,1987,1.4755378
Algeria,DZA,1988,0.5411292
Algeria,DZA,1989,0.6682794
Algeria,DZA,1990,0.39919358
Algeria,DZA,1991,0.86639774
Algeria,DZA,1992,0.58844084
Algeria,DZA,1993,1.0438172
Algeria,DZA,1994,0.49086028
Algeria,DZA,1995,0.57069886
Algeria,DZA,1996,0.39919358
Algeria,DZA,1997,0.22177416
Algeria,DZA,1998,0.6357528
Algeria,DZA,1999,0.6002689
Algeria,DZA,2000,0.1596775
Algeria,DZA,2001,0.2027075
Algeria,DZA,2002,0.16637361
Algeria,DZA,2003,0.76853275
Algeria,DZA,2004,0.72329473
Algeria,DZA,2005,1.5900536
Algeria,DZA,2006,0.61916
Algeria,DZA,2007,0.63904226
Algeria,DZA,2008,0.79524636
Algeria,DZA,2009,0.9551075
Algeria,DZA,2010,0.505433
Algeria,DZA,2011,1.0927547
Algeria,DZA,2012,1.1398855
Algeria,DZA,2013,0.3477633
Algeria,DZA,2014,0.68811077
Algeria,DZA,2015,0.59784
Algeria,DZA,2016,0.8996238
Algeria,DZA,2017,1.5408869
Algeria,DZA,2018,1.9313807
Algeria,DZA,2019,2.0481505
Algeria,DZA,2020,1.9494944
Algeria,DZA,2021,1.7892834
Algeria,DZA,2022,2.005017
Argentina,ARG,1965,3.6226556
Argentina,ARG,1966,3.6694174
Argentina,ARG,1967,3.7574391
Argentina,ARG,1968,4.428607
Argentina,ARG,1969,3.971993
Argentina,ARG,1970,4.783944
Argentina,ARG,1971,4.7602544
Argentina,ARG,1972,4.6860037
Argentina,ARG,1973,9.054804
Argentina,ARG,1974,17.903564
Argentina,ARG,1975,22.707188
Argentina,ARG,1976,22.321705
Argentina,ARG,1977,21.90163
Argentina,ARG,1978,31.328323
Argentina,ARG,1979,39.454174
