Entity,Code,Year,Nuclear (TWh - equivalent)
Africa,,1965,0
Africa,,1966,0
Africa,,1967,0
Africa,,1968,0
Africa,,1969,0
Africa,,1970,0
Africa,,1971,0
Africa,,1972,0
Africa,,1973,0
Africa,,1974,0
Africa,,1975,0
Africa,,1976,0
Africa,,1977,0
Africa,,1978,0
Africa,,1979,0
Africa,,1980,0
Africa,,1981,0
Africa,,1982,0
Africa,,1983,0
Africa,,1984,11.137245
Africa,,1985,15.081391
Africa,,1986,24.978643
Africa,,1987,17.498955
Africa,,1988,29.774042
Africa,,1989,31.493576
Africa,,1990,23.974163
Africa,,1991,25.946236
Africa,,1992,26.35484
Africa,,1993,20.58617
Africa,,1994,27.51538
Africa,,1995,32.066753
Africa,,1996,33.41174
Africa,,1997,35.88605
Africa,,1998,38.593037
Africa,,1999,36.42518
Africa,,2000,36.91607
Africa,,2001,30.217817
Africa,,2002,33.585613
Africa,,2003,35.24046
Africa,,2004,36.957523
Africa,,2005,31.029053
Africa,,2006,27.375378
Africa,,2007,30.707249
Africa,,2008,35.065548
Africa,,2009,34.31848
Africa,,2010,36.028275
Africa,,2011,34.154095
Africa,,2012,34.119267
Africa,,2013,36.891415
Africa,,2014,35.859425
Africa,,2015,31.62243
Africa,,2016,38.599903
Africa,,2017,36.245564
Africa,,2018,29.399641
Africa,,2019,33.520515
Africa,,2020,24.957308
Africa,,2021,31.02282
Africa,,2022,25.268139
Africa (EI),,1965,0
Africa (EI),,1966,0
Africa (EI),,1967,0
Africa (EI),,1968,0
Africa (EI),,1969,0
Africa (EI),,1970,0
Africa (EI),,1971,0
Africa (EI),,1972,0
Africa (EI),,1973,0
Africa (EI),,1974,0
Africa (EI),,1975,0
Africa (EI),,1976,0
Africa (EI),,1977,0
Africa (EI),,1978,0
Africa (EI),,1979,0
Africa (EI),,1980,0
Africa (EI),,1981,0
Africa (EI),,1982,0
Africa (EI),,1983,0
Africa (EI),,1984,11.137245
Africa (EI),,1985,15.081391
Africa (EI),,1986,24.978643
Africa (EI),,1987,17.498955
Africa (EI),,1988,29.774042
Africa (EI),,1989,31.493576
Africa (EI),,1990,23.974163
Africa (EI),,1991,25.946236
Africa (EI),,1992,26.35484
Africa (EI),,1993,20.58617
Africa (EI),,1994,27.51538
Africa (EI),,1995,32.066753
Africa (EI),,1996,33.41174
Africa (EI),,1997,35.88605
Africa (EI),,1998,38.593037
Africa (EI),,1999,36.42518
Africa (EI),,2000,36.91607
Africa (EI),,2001,30.217817
Africa (EI),,2002,33.585613
Africa (EI),,2003,35.24046
Africa (EI),,2004,36.957523
Africa (EI),,2005,31.029053
Africa (EI),,2006,27.375378
Africa (EI),,2007,30.707249
Africa (EI),,2008,35.065548
Africa (EI),,2009,34.31848
Africa (EI),,2010,36.028275
Africa (EI),,2011,34.154095
Africa (EI),,2012,34.119267
Africa (EI),,2013,36.891415
Africa (EI),,2014,35.859425
Africa (EI),,2015,31.62243
Africa (EI),,2016,38.599903
Africa (EI),,2017,36.245564
Africa (EI),,2018,29.399641
Africa (EI),,2019,33.520515
Africa (EI),,2020,24.957308
Africa (EI),,2021,31.02282
Africa (EI),,2022,25.268139
Algeria,DZA,1965,0
Algeria,DZA,1966,0
Algeria,DZA,1967,0
Algeria,DZA,1968,0
Algeria,DZA,1969,0
Algeria,DZA,1970,0
Algeria,DZA,1971,0
Algeria,DZA,1972,0
Algeria,DZA,1973,0
Algeria,DZA,1974,0
Algeria,DZA,1975,0
Algeria,DZA,1976,0
Algeria,DZA,1977,0
Algeria,DZA,1978,0
Algeria,DZA,1979,0
Algeria,DZA,1980,0
Algeria,DZA,1981,0
Algeria,DZA,1982,0
Algeria,DZA,1983,0
Algeria,DZA,1984,0
Algeria,DZA,1985,0
Algeria,DZA,1986,0
Algeria,DZA,1987,0
Algeria,DZA,1988,0
Algeria,DZA,1989,0
Algeria,DZA,1990,0
Algeria,DZA,1991,0
Algeria,DZA,1992,0
Algeria,DZA,1993,0
Algeria,DZA,1994,0
Algeria,DZA,1995,0
Algeria,DZA,1996,0
Algeria,DZA,1997,0
Algeria,DZA,1998,0
Algeria,DZA,1999,0
Argentina,ARG,1965,0
Argentina,ARG,1966,0
Argentina,ARG,1967,0
Argentina,ARG,1968,0
Argentina,ARG,1969,0
Argentina,ARG,1970,0
Argentina,ARG,1971,0
Argentina,ARG,1972,0
Argentina,ARG,1973,0
Argentina,ARG,1974,2.9396653
Argentina,ARG,1975,7.142025
Argentina,ARG,1976,7.298088
Argentina,ARG,1977,4.6450114
Argentina,ARG,1978,8.217443
Argentina,ARG,1979,7.6385903
Argentina,ARG,1980,6.639785
Argentina,ARG,1981,7.990442
Argentina,ARG,1982,5.306153
Argentina,ARG,1983,9.661737
Argentina,ARG,1984,13.168906
Argentina,ARG,1985,16.36111
Argentina,ARG,1986,16.205048
Argentina,ARG,1987,18.344534
Argentina,ARG,1988,16.451912
Argentina,ARG,1989,14.298237
Argentina,ARG,1990,20.659946
Argentina,ARG,1991,22.007765
Argentina,ARG,1992,20.092442
Argentina,ARG,1993,21.99074
Argentina,ARG,1994,23.366934
Argentina,ARG,1995,20.049881
Argentina,ARG,1996,21.165024
Argentina,ARG,1997,22.589457
Argentina,ARG,1998,21.147999
Argentina,ARG,1999,20.163382
Argentina,ARG,2000,17.527328
Argentina,ARG,2001,19.899952
Argentina,ARG,2002,16.304049
Argentina,ARG,2003,21.055779
Argentina,ARG,2004,21.759527
Argentina,ARG,2005,18.885078
Argentina,ARG,2006,21.081717
Argentina,ARG,2007,19.682814
Argentina,ARG,2008,19.938072
Argentina,ARG,2009,21.929417
Argentina,ARG,2010,19.20336
Argentina,ARG,2011,16.94204
Argentina,ARG,2012,16.844624
Argentina,ARG,2013,16.233166
Argentina,ARG,2014,14.334412
Argentina,ARG,2015,18.18994
Argentina,ARG,2016,21.283125
Argentina,ARG,2017,15.547312
Argentina,ARG,2018,17.446835
Argentina,ARG,2019,21.353771
Argentina,ARG,2020,25.229486
Argentina,ARG,2021,25.535925
Argentina,ARG,2022,18.686522
Asia,,1965,0.07093778
Asia,,1966,1.6571085
Asia,,1967,1.7847968
Asia,,1968,2.9623656
Asia,,1969,5.12677
Asia,,1970,16.71053
Asia,,1971,25.625261
Asia,,1972,30.09737
Asia,,1973,34.164936
Asia,,1974,62.50484
Asia,,1975,79.10505
Asia,,1976,105.70347
Asia,,1977,96.498856
Asia,,1978,189.37021
Asia,,1979,233.45267
Asia,,1980,274.6574
Asia,,1981,295.1559
Asia,,1982,345.1878
Asia,,1983,412.8858
Asia,,1984,496.60992
Asia,,1985,610.6749
Asia,,1986,649.5678
Asia,,1987,768.97906
Asia,,1988,725.6453
Asia,,1989,757.5465
Asia,,1990,814.75977
Asia,,1991,870.17255
Asia,,1992,893.3349
Asia,,1993,989.9413
Asia,,1994,1056.8002
Asia,,1995,1165.0416
Asia,,1996,1230.6072
Asia,,1997,1309.1163
Asia,,1998,1362.2074
Asia,,1999,1385.1049
Asia,,2000,1424.5581
Asia,,2001,1433.7633
Asia,,2002,1460.871
Asia,,2003,1291.3638
Asia,,2004,1472.2356
Asia,,2005,1527.3424
Asia,,2006,1557.8738
Asia,,2007,1485.0784
Asia,,2008,1432.8289
Asia,,2009,1489.7334
Asia,,2010,1559.2688
Asia,,2011,1285.9719
Asia,,2012,912.1577
Asia,,2013,917.2199
Asia,,2014,982.41174
Asia,,2015,1100.9365
Asia,,2016,1224.212
